generation,individual_id,Gap,Polearc,Mag_th,Bs0,AvgTorque,TorqueRipple,AvgEfficiency,is_valid
6,0,0.975638,0.761259,4.015336,3.969165,1.07527151779494,162.36584387471217,99.4520916637205,1
6,1,0.86214,0.764801,4.024979,3.93466,1.08096928893439,155.64821631941948,99.4275390317273,1
6,2,0.808955,0.748358,4.02624,3.960914,1.15903026124956,176.7953954368642,99.4683761022488,1
6,3,0.805645,0.756358,4.02624,3.305232,1.09695485015484,149.59278366262757,99.3737771576641,1
6,4,0.81013,0.740834,4.025984,3.478724,1.16390029632514,180.2715684155918,99.4303015649148,1
6,5,0.467235,0.735827,3.240026,3.593994,1.15839178558833,175.18161470413864,99.3400533273586,1
6,6,0.862274,0.730904,3.920777,3.586033,1.18206905956257,185.92445667051288,99.4621308580447,1
6,7,0.336689,0.750427,3.823234,3.577528,1.20036938295173,159.10893200150974,99.3226063272161,1
6,8,0.859784,0.748358,4.02624,3.306473,1.11897239786025,172.92475994956692,99.401571905069,1
6,9,0.81013,0.748387,4.149005,2.856144,1.11949285446472,164.07316552270186,99.3474808987464,1
6,10,0.751007,0.716579,3.855092,3.626192,1.2506953649807,193.14013679550783,99.4756929405865,1
6,11,0.364259,0.72637,3.855092,3.579881,1.30345294046897,177.02080365174638,99.3884300201332,1
6,12,0.416974,0.753309,4.150167,3.104176,1.19133727018183,143.23020180434247,99.2998901699,1
6,13,0.78968,0.716611,3.841971,3.646854,1.24020019072538,193.0636708552379,99.4809213240333,1
6,14,0.762957,0.753125,3.843965,2.978258,1.08528399874307,147.4100432180453,99.3254177861055,1
6,15,0.415513,0.753125,3.854569,3.55487,1.18270648127166,149.65353283997194,99.3360634709458,1
6,16,0.970234,0.730904,3.918902,3.586033,1.15935994847999,187.1700212956169,99.4709525548578,1
6,17,0.970234,0.731399,3.917584,3.586033,1.15751493693034,186.87054892312153,99.471719338343,1
6,18,0.86766,0.761175,4.026261,3.484288,1.07721100423439,153.2022635770818,99.3936784921596,1
6,19,0.975638,0.761322,4.015336,3.969165,1.07502971743654,162.20936282521214,99.4519200721811,1
6,20,0.371633,0.753125,3.755192,3.102387,1.16372201042562,143.10044575331318,99.2518744417958,1
6,21,0.81013,0.748387,4.149005,2.856144,1.11949285446479,164.07316552277024,99.3474808987377,1
6,22,0.873313,0.753871,4.02624,3.49473,1.10319728143481,163.92419955694498,99.4122215734705,1
6,23,0.413443,0.753125,3.854633,3.576503,1.18572936716811,151.2671013599147,99.3381929448853,1
6,24,0.86766,0.761175,4.024979,3.969263,1.09467850081542,159.33243821073233,99.4439801491458,1
6,25,0.76291,0.753191,3.838945,3.63172,1.11398816514971,166.78177686839166,99.4035528619306,1
6,26,0.755136,0.716642,3.838985,3.626028,1.24707667331734,193.1353441355546,99.475152655943,1
6,27,0.805499,0.748358,4.032703,3.960914,1.16045463937097,176.5454885702059,99.468303756838,1
